"","F-Value","Pr(>F)","Not-exposed_Radiotherapy-Exposed_Radiotherapy","diff Not-exposed_Radiotherapy-Exposed_Radiotherapy","NETcolors"
"C10orf125|282969",4.75461111950373,0.0297664067931377,0.0297664067684785,-0.333170675834324,"blue"
"C10orf128|170371",0.289399424103026,0.590886582361286,0.590886582352882,-0.118180894430552,"yellow"
"C10orf131|100127889",0.728940964129227,0.393716854288314,0.393716854274945,-0.243768675713588,"grey"
"C10orf137|26098",0.0390111404021869,0.843520800959482,0.843520800956348,-0.0177884205889232,"grey"
"C10orf140|387640",0.0794258201179585,0.778213889645588,0.77821388964112,0.040847234432289,"brown"
"C10orf18|54906",0.415175457423217,0.519701052135958,0.519701052125995,-0.0388687298440082,"turquoise"
"C10orf25|220979",0.597893172152657,0.439811842240093,0.439811842228263,0.0579182289225653,"grey"
"C10orf2|56652",0.14026980727277,0.70819929682368,0.708199296817774,-0.0278438363873743,"pink"
"C10orf26|54838",1.30355595537181,0.254206061999671,0.254206061983042,0.0651740976282529,"black"
"C10orf28|27291",3.42362179712803,0.0649620704933488,0.0649620704702615,0.104445705107414,"grey"
"C10orf32|119032",5.70887668956549,0.0173134512640045,0.0173134512386217,0.148604151066579,"grey"
"C10orf35|219738",2.25487618613426,0.133934947153488,0.133934947133074,-0.093037954349299,"blue"
"C10orf41|100131213",1.85075627338796,0.174414846668045,0.174414846648996,0.131754596902223,"blue"
"C10orf4|118924",2.46153574413596,0.117407115785443,0.11740711576444,0.108095646411652,"blue"
"C10orf46|143384",2.64900890585547,0.10435382693108,0.104353826909588,0.0690870575079927,"turquoise"
"C10orf47|254427",1.91137966791953,0.167534421028361,0.167534421009089,0.149092106367371,"brown"
"C10orf54|64115",0.00401908427898968,0.949480710278812,0.949480710277807,0.00741105552572208,"yellow"
"C10orf55|414236",0.653118665539461,0.419453060396867,0.419453060384412,-0.190418545756713,"black"
"C10orf57|80195",4.92650949430394,0.0269735924492781,0.0269735924244773,0.142225359916877,"grey"
"C10orf58|84293",2.5809713151231,0.108896213480672,0.10889621345935,0.137304676242994,"grey"
"C10orf68|79741",0.0352835456354665,0.851092184261665,0.851092184258678,-0.0326101759396051,"green"
"C10orf72|196740",4.37942606016311,0.0369663449615596,0.0369663449372285,0.292237151141778,"brown"
"C10orf75|90271",1.57561468275668,0.210081614246645,0.210081614228715,0.164997043511217,"grey"
"C10orf76|79591",0.418843147901719,0.517863431666658,0.517863431656616,0.0244444671039137,"grey"
"C10orf78|119392",0.879451245081021,0.348883388528466,0.348883388514396,0.0547780841145391,"pink"
"C10orf79|80217",5.59601944058803,0.0184483171160845,0.0184483170907748,0.311203883020144,"grey"
"C10orf81|79949",0.221357756201393,0.638248108636484,0.6382481086291,0.0946502754452787,"grey"
"C10orf82|143379",7.57236301824344,0.00618180103268971,0.00618180100634991,1.03568407338201,"black"
"C10orf84|63877",0.119458834784369,0.729792780551202,0.729792780545736,0.0125006228452467,"grey"
"C10orf88|80007",0.0728094063472721,0.787420022933569,0.787420022929284,0.0106862846395641,"grey"
"C10orf90|118611",0.0263630251129442,0.871096500454292,0.871096500451601,0.0517548971744759,"grey"
"C10orf91|170393",3.72885483533583,0.0541624608242411,0.0541624608012159,-0.652903886350502,"grey"
"C10orf93|255352",1.99295317071301,0.15876242470496,0.158762424685397,0.413178870048689,"grey"
"C10orf95|79946",0.150799500285389,0.697966485384888,0.697966485378764,-0.0527620944182416,"pink"
"C10orf99|387695",4.28942055625369,0.0389648369654504,0.0389648369414537,0.789633239385015,"black"
"C11orf10|746",0.219775697046439,0.639450686671999,0.639450686664631,-0.0298558446747599,"blue"
"C11orf1|64776",4.36710978984595,0.0372316300970533,0.0372316300727364,0.151475018893901,"pink"
"C11orf16|56673",0.0248229042644924,0.874885777619144,0.874885777616531,0.0504097462732294,"grey"
"C11orf17|56672",5.81019691727272,0.0163562158393782,0.0163562158139339,-0.113938482046757,"yellow"
"C11orf20|25858",1.40573496448385,0.236428172676815,0.236428172659654,-0.333471765352967,"blue"
"C11orf21|29125",0.718089890696836,0.397248121778507,0.397248121765618,-0.190347372931274,"red"
"C11orf24|53838",0.105491709662998,0.745495761964129,0.745495761958979,-0.0170553681101246,"blue"
"C11orf2|738",0.297677563085547,0.58562762190369,0.585627621895171,0.030785002932646,"pink"
"C11orf30|56946",0.262966988054896,0.608354879777419,0.608354879769397,0.0358773882653907,"turquoise"
"C11orf31|280636",0.826836115245753,0.36370315570431,0.363703155690611,-0.0530160384399281,"blue"
