"","c(1:nrow(cleanDat))","rownames(cleanDat)","net$colors","kMEmagenta","kMEturquoise","kMEblack","kMEred","kMEbrown","kMEyellow","kMEgreen","kMEblue","kMEpink","kMEtableSortVector"
"TUBGCP4|27229",16317,"TUBGCP4|27229","turquoise",0.127206154537686,0.76705465311292,-0.0449935375856399,0.0384948977543855,0.0527832872740983,0.0090631574577977,-0.361202457003697,-0.710581160450694,-0.434553396352451,"M1 turquoise|0.7671"
"NPEPPS|9520",10647,"NPEPPS|9520","turquoise",0.249860944122288,0.766754184166468,-0.200583090097321,-0.0772387709363064,-0.206688673362712,-0.195079868441063,-0.326076494630997,-0.634766992407507,-0.387423659629206,"M1 turquoise|0.7668"
"SMEK2|57223",14441,"SMEK2|57223","turquoise",0.232574951413776,0.766738527259385,-0.17377710313009,-0.053879307773602,-0.118687581811712,-0.152644032836248,-0.483536466087958,-0.67524049337701,-0.235014427824493,"M1 turquoise|0.7667"
"PDS5A|23244",11402,"PDS5A|23244","turquoise",0.340479115588167,0.766457619692658,-0.235811536224886,-0.0823508812817851,-0.219040149534551,-0.164828795359405,-0.399485251840371,-0.650012489050464,-0.14436507607806,"M1 turquoise|0.7665"
"RREB1|6239",13350,"RREB1|6239","turquoise",0.0949649868564558,0.766414318100738,-0.0798567826167173,-0.053561536062883,-0.0522217212971964,-0.169050526334416,-0.308305344175005,-0.663147104068871,-0.589219329856126,"M1 turquoise|0.7664"
"FAM199X|139231",5426,"FAM199X|139231","turquoise",0.331708596460035,0.766169554464604,-0.306306318356971,-0.153825017897093,-0.322661397995332,-0.287127035358953,-0.481147872859072,-0.614736610204957,-0.334006459406309,"M1 turquoise|0.7662"
"APC|324",749,"APC|324","turquoise",0.031527538440019,0.766144398500418,-0.0211641871144799,0.0705194861488884,0.0979978333686299,-0.014416144882089,-0.516653617707736,-0.742845965189385,-0.581628819855378,"M1 turquoise|0.7661"
"ZNF28|7576",17355,"ZNF28|7576","turquoise",0.19922766199159,0.765289334921237,-0.0535197889426723,0.0372324774349828,-0.0856752508415014,-0.142401944076777,-0.468716292077723,-0.661038778454402,-0.491787868164678,"M1 turquoise|0.7653"
"AFF1|4299",353,"AFF1|4299","turquoise",0.0840189958638423,0.765187814958893,-0.180661604330272,-0.0654921523041486,-0.102402476596324,-0.165792500021641,-0.322086726803652,-0.673680611674397,-0.388114137606221,"M1 turquoise|0.7652"
"SMC2|10592",14430,"SMC2|10592","turquoise",0.526408966129185,0.765247368755494,-0.155645308562879,0.086426755463088,-0.174154252329518,-0.033187644812511,-0.324839061063117,-0.662550654872862,-0.3223488544075,"M1 turquoise|0.7652"
"USP1|7398",16590,"USP1|7398","turquoise",0.222726907201659,0.765005821082215,-0.0167643255678867,0.125263392344275,0.000361795460790824,-0.0300322897966161,-0.40219217294924,-0.733259837921487,-0.370751224493719,"M1 turquoise|0.765"
"SPAG9|9043",14652,"SPAG9|9043","turquoise",0.0858290507622982,0.764815103836585,0.0980633967304112,0.278542801042601,0.251314316805652,0.307919558614059,-0.357650051132922,-0.806663025877892,-0.522511480533908,"M1 turquoise|0.7648"
"KDM5A|5927",7948,"KDM5A|5927","turquoise",-0.0175435319043479,0.764527569566105,0.144302133419031,0.182268607944061,0.188150598481076,0.091790960269294,-0.346660609395435,-0.782246382563957,-0.522612178855182,"M1 turquoise|0.7645"
"TPR|7175",15977,"TPR|7175","turquoise",0.221010941889318,0.764289063160489,0.11870967599712,0.2401599908347,0.067691603798663,0.14264026300588,-0.105532982723522,-0.723169598014824,-0.36404142554181,"M1 turquoise|0.7643"
"ZFP106|64397",17164,"ZFP106|64397","turquoise",-0.0889926528690573,0.764078264545677,-0.0235841814091317,0.0218968472605111,0.143692470904033,-0.0227689190031036,-0.481391886541516,-0.762347282868781,-0.58113776000791,"M1 turquoise|0.7641"
"OTUD4|54726",11026,"OTUD4|54726","turquoise",0.0467341003080043,0.763822842942548,0.236072755626892,0.343319489845621,0.216352736893061,0.20952580140978,-0.260754326813616,-0.823436021768911,-0.512969955112926,"M1 turquoise|0.7638"
"RUNDC2A|84127",13413,"RUNDC2A|84127","turquoise",0.0499003579362411,0.76378015684033,0.115002867850096,0.262555345201747,0.203094105476589,0.205455738288527,-0.308175423115343,-0.746764506787263,-0.597099077242862,"M1 turquoise|0.7638"
"PKN2|5586",11690,"PKN2|5586","turquoise",-0.0438916178600407,0.763484369939161,0.100540952079189,0.0692082301609017,0.135855199622513,-0.0112641799346852,-0.250865619634335,-0.783497580902366,-0.482193638423328,"M1 turquoise|0.7635"
"DCAF7|10238",4194,"DCAF7|10238","turquoise",0.182273229279753,0.763329729570864,-0.271859478207755,-0.173601574124823,-0.222580342840173,-0.257724541707964,-0.460178339366107,-0.61648068298155,-0.333003953940514,"M1 turquoise|0.7633"
